Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025_12_08,00065,multi_order,398693
2025_12_08,00066,multi_order,398693
2025_12_08,00067,multi_order,398693
2025_12_08,00068,multi_order,398693
2025_12_08,00069,multi_order,398693
2025_12_08,00070,multi_order,"398693,398939"
2025_12_08,00071,multi_order,398939
2025_12_08,00072,multi_order,398939
2025_12_08,00073,multi_order,"398939,400263"
2025_12_08,00074,multi_order,400263
2025_12_08,00075,multi_order,"400263,400317"
2025_12_08,00076,multi_order,"400317,400356"
2025_12_08,00077,multi_order,"400356,400357"
2025_12_08,00078,multi_order,"400357,400907"
2025_12_08,00079,multi_order,"400907,401063"
2025_12_08,00080,multi_order,401063
2025_12_08,00081,multi_order,394957
2025_12_08,00082,multi_order,394957
2025_12_08,00083,multi_order,394957
2025_12_08,00084,multi_order,394957
2025_12_08,00085,multi_order,394957
2025_12_08,00086,multi_order,394957
2025_12_08,00087,multi_order,394957
2025_12_08,00088,multi_order,394957
2025_12_08,00089,multi_order,"394957,395059"
2025_12_08,00090,multi_order,395059
2025_12_08,00091,multi_order,395059
2025_12_08,00092,multi_order,395059
2025_12_08,00093,multi_order,"395059,395106"
2025_12_08,00094,multi_order,395106
2025_12_08,00095,multi_order,"395106,397205"
2025_12_08,00096,multi_order,397205
2025_12_08,00097,multi_order,397205
2025_12_08,00098,multi_order,"397205,398693"
2025_12_08,00099,multi_order,398693
2025_12_08,00100,multi_order,398693
2025_12_08,00101,multi_order,398693
2025_12_08,00102,multi_order,398693
2025_12_08,00103,multi_order,398693
2025_12_08,00104,multi_order,398693
2025_12_08,00105,multi_order,398693
2025_12_08,00106,multi_order,398693
2025_12_08,00107,multi_order,398693
2025_12_08,00108,multi_order,398693
2025_12_08,00109,multi_order,398693
2025_12_08,00110,multi_order,"398693,398939"
2025_12_08,00111,multi_order,398939
2025_12_08,00112,multi_order,398939
2025_12_08,00113,multi_order,398939
2025_12_08,00114,multi_order,"398939,400263"
2025_12_08,00115,multi_order,400263
2025_12_08,00116,multi_order,400263
2025_12_08,00117,multi_order,400263
2025_12_08,00118,multi_order,"400263,400317"
2025_12_08,00119,multi_order,400317
2025_12_08,00120,multi_order,400317
2025_12_08,00121,multi_order,"400317,400356"
2025_12_08,00122,multi_order,400356
2025_12_08,00123,multi_order,400356
2025_12_08,00124,multi_order,"400356,400357"
2025_12_08,00125,multi_order,400357
2025_12_08,00126,multi_order,400357
2025_12_08,00127,multi_order,"400357,400907"
2025_12_08,00128,multi_order,400907
2025_12_08,00129,multi_order,400907
2025_12_08,00130,multi_order,"400907,401063"
2025_12_08,00131,multi_order,401063
2025_12_08,00132,multi_order,401063
2025_12_08,00133,multi_order,401063
2025_12_08,00134,multi_order,394957
2025_12_08,00135,multi_order,394957
2025_12_08,00136,multi_order,394957
2025_12_08,00137,multi_order,394957
2025_12_08,00138,multi_order,394957
2025_12_08,00139,multi_order,"394957,395059"
2025_12_08,00140,multi_order,"395059,395106"
2025_12_08,00141,multi_order,"395106,397205"
2025_12_08,00142,multi_order,"397205,398693"
2025_12_08,00143,multi_order,398693
2025_12_08,00144,multi_order,398693
2025_12_08,00146,multi_order,398693
2025_12_08,00147,multi_order,398693
2025_12_08,00159,multi_order,401063
2025_12_08,00160,multi_order,394957
2025_12_08,00161,multi_order,394957
2025_12_08,00162,multi_order,394957
2025_12_08,00163,multi_order,"394957,395059,395106"
2025_12_08,00164,multi_order,"395106,397205"
2025_12_08,00165,multi_order,397205
2025_12_08,00166,multi_order,"397205,398693"
2025_12_08,00167,multi_order,398693
2025_12_08,00168,multi_order,398693
2025_12_08,00169,multi_order,398693
2025_12_08,00170,multi_order,398693
2025_12_08,00171,multi_order,398693
2025_12_08,00172,multi_order,"398693,398939"
2025_12_08,00173,multi_order,398939
2025_12_08,00174,multi_order,"398939,400263"
2025_12_08,00175,multi_order,"400263,400317,400356"
2025_12_08,00176,multi_order,"400356,400357,400907"
2025_12_08,00177,multi_order,401063
2025_12_08,00178,multi_order,394957
2025_12_08,00179,multi_order,394957
2025_12_08,00180,multi_order,394957
2025_12_08,00181,multi_order,394957
2025_12_08,00182,multi_order,394957
2025_12_08,00183,multi_order,394957
2025_12_08,00184,multi_order,394957
2025_12_08,00185,multi_order,394957
2025_12_08,00186,multi_order,394957
2025_12_08,00187,multi_order,394957
2025_12_08,00188,multi_order,394957
2025_12_08,00189,multi_order,394957
2025_12_08,00190,multi_order,"394957,395059"
2025_12_08,00191,multi_order,395059
2025_12_08,00192,multi_order,395059
2025_12_08,00193,multi_order,395059
2025_12_08,00194,multi_order,395106
2025_12_08,00195,multi_order,395106
2025_12_08,00196,multi_order,395106
2025_12_08,00197,multi_order,"395106,397205"
2025_12_08,00198,multi_order,397205
2025_12_08,00199,multi_order,397205
2025_12_08,00200,multi_order,397205
2025_12_08,00201,multi_order,397205
2025_12_08,00202,multi_order,397205
2025_12_08,00203,multi_order,397205
2025_12_08,00204,multi_order,397205
2025_12_08,00205,multi_order,"397205,398693"
2025_12_08,00206,multi_order,398693
2025_12_08,00207,multi_order,398693
2025_12_08,00208,multi_order,398693
2025_12_08,00209,multi_order,398693
2025_12_08,00210,multi_order,398693
2025_12_08,00211,multi_order,398693
2025_12_08,00212,multi_order,398693
2025_12_08,00213,multi_order,398693
2025_12_08,00215,multi_order,398693
2025_12_08,00216,multi_order,398693
2025_12_08,00217,multi_order,398693
2025_12_08,00218,multi_order,398693
2025_12_08,00219,multi_order,398693
2025_12_08,00220,multi_order,398693
2025_12_08,00221,multi_order,398693
2025_12_08,00222,multi_order,"398693,398939"
2025_12_08,00224,multi_order,398939
2025_12_08,00225,multi_order,398939
2025_12_08,00230,multi_order,398939
2025_12_08,00231,multi_order,"398939,400263"
2025_12_08,00247,fragile,394957
2025_12_08,00248,fragile,394957
2025_12_08,00249,fragile,394957
2025_12_08,00250,fragile,394957
2025_12_08,00251,fragile,394957
2025_12_08,00252,fragile,394957
2025_12_08,00253,fragile,"394957,395059"
2025_12_08,00256,fragile,395106
2025_12_08,00257,fragile,395106
2025_12_08,00260,fragile,397205
2025_12_08,00262,fragile,398693
2025_12_08,00263,fragile,398693
2025_12_08,00264,fragile,398693
2025_12_08,00265,fragile,398693
2025_12_08,00266,fragile,398693
2025_12_08,00268,fragile,398693
2025_12_08,00269,fragile,398693
2025_12_08,00270,fragile,398693
2025_12_08,00288,fragile,401063
2025_12_08,00352,multi_order,401063
2025_12_08,00385,multi_order,401063
2025_12_08,00483,multi_order,394957
2025_12_08,00484,multi_order,394957
2025_12_08,00485,multi_order,394957
2025_12_08,00486,multi_order,394957
2025_12_08,00487,multi_order,394957
2025_12_08,00488,multi_order,394957
2025_12_08,00489,multi_order,394957
2025_12_08,00490,multi_order,394957
2025_12_08,00491,multi_order,394957
2025_12_08,00492,multi_order,394957
2025_12_08,00493,multi_order,394957
2025_12_08,00494,multi_order,394957
2025_12_08,00495,multi_order,394957
2025_12_08,00496,multi_order,394957
2025_12_08,00497,multi_order,394957
2025_12_08,00498,multi_order,394957
2025_12_08,00499,multi_order,394957
2025_12_08,00500,multi_order,394957
2025_12_08,00501,multi_order,394957
2025_12_08,00502,multi_order,394957
2025_12_08,00503,multi_order,394957
2025_12_08,00504,multi_order,394957
2025_12_08,00521,multi_order,395059
2025_12_08,00536,multi_order,397205
2025_12_08,00552,multi_order,398693
2025_12_08,00554,multi_order,398693
2025_12_08,00556,multi_order,398693
2025_12_08,00558,multi_order,398693
2025_12_08,00574,multi_order,398693
2025_12_08,00575,multi_order,398693
2025_12_08,00577,multi_order,398693
2025_12_08,00581,multi_order,398693
2025_12_08,00582,multi_order,398693
2025_12_08,00626,multi_order,398939
2025_12_08,00629,multi_order,398939
2025_12_08,00974,multi_order,394957
2025_12_08,00983,multi_order,394957
2025_12_08,01008,multi_order,398693
2025_12_08,01017,multi_order,398693
2025_12_08,01028,multi_order,398693
2025_12_08,01187,fragile,398693
2025_12_08,01203,multi_order,400356
2025_12_08,01204,multi_order,400357
2025_12_08,01227,multi_order,401063
2025_12_08,01228,multi_order,394957
2025_12_08,01229,bulk,397205
2025_12_08,01230,multi_order,398693
2025_12_08,01231,multi_order,398939
2025_12_08,01232,multi_order,400356
2025_12_08,01233,multi_order,400357
2025_12_08,01276,bulk,394957
2025_12_08,01277,bulk,394957
2025_12_08,01278,bulk,394957
2025_12_08,01279,bulk,394957
2025_12_08,01280,bulk,394957
2025_12_08,01281,bulk,394957
2025_12_08,01282,bulk,394957
2025_12_08,01283,bulk,394957
2025_12_08,01284,bulk,394957
2025_12_08,01285,bulk,394957
2025_12_08,01286,bulk,394957
2025_12_08,01287,bulk,394957
2025_12_08,01288,bulk,394957
2025_12_08,01289,bulk,394957
2025_12_08,01290,bulk,394957
2025_12_08,01297,bulk,394957
2025_12_08,01298,bulk,394957
2025_12_08,01300,bulk,394957
2025_12_08,01301,bulk,395059
2025_12_08,01303,bulk,395059
2025_12_08,01304,bulk,395059
2025_12_08,01305,bulk,395059
2025_12_08,01320,bulk,397205
2025_12_08,01331,bulk,398693
2025_12_08,01350,bulk,398693
2025_12_08,01365,bulk,398939
2025_12_08,01383,bulk,400357
2025_12_08,05330,multi_order,394957
2025_12_08,05337,fragile,394957
2025_12_08,05347,bulk,394957
2025_12_08,05351,multi_order,351426
2025_12_08,05352,multi_order,351426
2025_12_08,05353,multi_order,351426
2025_12_08,05354,multi_order,351426
2025_12_08,05355,multi_order,351426
2025_12_08,05356,multi_order,351426
2025_12_08,05357,multi_order,351426
2025_12_08,05358,multi_order,351426
2025_12_08,05359,multi_order,"351426,394957"
2025_12_08,05360,multi_order,394957
2025_12_08,05361,multi_order,394957
2025_12_08,05362,multi_order,394957
2025_12_08,05363,multi_order,394957
2025_12_08,05364,multi_order,394957
2025_12_08,05368,fragile,351426
2025_12_08,05371,fragile,394957
2025_12_08,05378,fragile,394957
2025_12_08,05381,multi_order,351426
2025_12_08,05382,multi_order,394957
2025_12_08,05385,multi_order,351426
2025_12_08,05388,multi_order,394957
2025_12_08,05389,multi_order,351426
2025_12_08,05390,multi_order,351426
2025_12_08,05391,multi_order,351426
2025_12_08,05392,multi_order,351426
2025_12_08,05393,multi_order,"351426,394957"
2025_12_08,05394,multi_order,394957
2025_12_08,05395,multi_order,394957
2025_12_08,05401,multi_order,"351426,394957"
2025_12_08,05404,multi_order,"351426,394957"
2025_12_08,05405,fragile,351426
2025_12_08,05406,fragile,"351426,394957"
2025_12_08,05407,multi_order,351426
2025_12_08,05408,multi_order,394957
2025_12_08,05409,multi_order,"351426,394957"
2025_12_08,05411,bulk,394957
2025_12_08,05412,multi_order,351426
2025_12_08,05413,multi_order,"351426,394957"
2025_12_08,05414,multi_order,351426
2025_12_08,05415,bulk,351426
2025_12_08,05416,bulk,351426
2025_12_08,07070,multi_order,401371
2025_12_08,07074,multi_order,401371
2025_12_08,07076,multi_order,401371
2025_12_08,07078,multi_order,401371
2025_12_08,07079,multi_order,401371
2025_12_08,07080,multi_order,401371
2025_12_08,07081,multi_order,401371
2025_12_08,07082,fragile,401371
2025_12_08,07083,fragile,401371
2025_12_08,07085,multi_order,401371
2025_12_08,07087,multi_order,401371
2025_12_08,07092,multi_order,401371
2025_12_08,07093,multi_order,401371
2025_12_08,07094,multi_order,401371
2025_12_08,07095,multi_order,401371
2025_12_08,07096,multi_order,401371
2025_12_08,07097,multi_order,401371
2025_12_08,07098,multi_order,401371
2025_12_08,07099,multi_order,401371
2025_12_08,07100,multi_order,401371
2025_12_08,07101,multi_order,401371
2025_12_08,07102,multi_order,401371
2025_12_08,07103,multi_order,401371
2025_12_08,07104,multi_order,401371
2025_12_08,07106,fragile,401371
2025_12_08,07107,fragile,401371
2025_12_08,07108,fragile,401371
2025_12_08,07109,fragile,401371
2025_12_08,07110,multi_order,401371
2025_12_08,07112,multi_order,401371
2025_12_08,07113,fragile,401371
2025_12_08,07115,multi_order,401371
2025_12_08,07116,multi_order,401371
2025_12_08,07117,multi_order,401371
2025_12_08,07118,multi_order,401371
